רשות מקומית,סוג מתקן,שם המתקן,שכונה-רובע,רחוב,מספר בית,גוף מפעיל המתקן,טלפון איש קשר,שנת הקמה,משרת בית ספר,X_GEO,Y_GEO
חיפה,אולם ספורט קטן – 20x10 מ',בארי,נווה שאנן,ברל כצנלסון,48,עיריית חיפה,04-8237894,1960,בארי,32.78747005,35.01231943
חיפה,מגרש כדורסל – 19X32 מ',בורלא,,בורלא,30,עיריית חיפה,04-8356823,1990,,32.77690786,35.00444365
חיפה,מכון לכושר גופני,בי'ח אלישע,כרמל,יאיר כץ,12,פרטי,,2000,,32.80051199,34.99211289
חיפה,מגרש ספורט משולב – 43X32 מ',בי'ס אהוד,,אהוד,18,עיריית חיפה,,1950,,32.79176177,34.98989186
חיפה,מגרש ספורט משולב – 43X32 מ',בי'ס אחווה,,קיסריה,20,עיריית חיפה,,1960,,32.81584539,34.99485277
חיפה,מגרש ספורט משולב – 43X32 מ',בי'ס אחוזה-זכרון יוסף,אחוזה,שד' סיני,13,עיריית חיפה,,1960,,32.78788026,34.98744595
חיפה,מגרש ספורט משולב – 43X32 מ',בי'ס אחמדיה,,אלמהאדי,12,עיריית חיפה,,1970,,32.80579491,34.97128004
חיפה,מגרש ספורט משולב – 43X32 מ',בי'ס אילנות,,הסנה,8,עיריית חיפה,,1955,,32.81228347,34.96934108
חיפה,מגרש ספורט משולב – 43X32 מ',בי'ס אינשטיין,,אינשטיין,133,עיריית חיפה,,1970,,32.77825351,35.00017113
חיפה,מגרש ספורט משולב – 43X32 מ',בי'ס אל חיואר,,צהיון,5,עיריית חיפה,,2005,,32.81810122,34.99580854
חיפה,מגרש ספורט משולב – 43X32 מ',בי'ס אל כארמה,,הגפן,15,עיריית חיפה,,1958,,32.81682856,34.98972483
חיפה,מגרש ספורט משולב – 43X32 מ',בי'ס אלון,,יגאל אלון,8,עיריית חיפה,,2000,,32.77719073,35.01234153
חיפה,מגרש ספורט משולב – 43X32 מ',בי'ס ארלוזרוב,,הקיבוצים,65,עיריית חיפה,,1950,,32.82704291,35.07321491
חיפה,מגרש ספורט משולב – 43X32 מ',בי'ס בן גוריון,,קרן היסוד,33,עיריית חיפה,,1970,,32.79015604,35.00025066
חיפה,מגרש ספורט משולב – 43X32 מ',בי'ס גבריאלי,נו'ש,דרך יד לבנים,83 א',עיריית חיפה,,1955,,32.79514267,35.01774758
חיפה,מתקן פתוח לכושר גופני,בי'ס גורדון,קריית חיים,זלמן ארן,43,עיריית חיפה,04-8356823,2008,,32.83316006,35.06017586
חיפה,מגרש ספורט משולב – 43X32 מ',בי'ס גורדון א'ד,קריית חיים,זלמן ארן,43,עיריית חיפה,,1960,,32.83370082,35.05996138
חיפה,מגרש ספורט משולב – 43X32 מ',בי'ס דגניה,קריית חיים,שד' דגניה,33,עיריית חיפה,,1960,,32.82927943,35.05729857
חיפה,מגרש ספורט משולב – 43X32 מ',בי'ס דוד ילין,מרכז הכרמל,מגידו,7,עיריית חיפה,,1950,,32.80402366,34.98922179
חיפה,מגרש ספורט משולב – 43X32 מ',בי'ס דינור,נו'ש,קליבנוב,20,עיריית חיפה,,1980,,32.79305708,35.01006554
חיפה,מכון לכושר גופני,בית אבא חושי,נו'ש,אבא הלל סילבר,71,עיריית חיפה,,1998,,32.82125836,35.06072906
חיפה,מכון לכושר גופני,בית הגפן,הדר,הגפן,2,עיריית חיפה,,1960,,32.81620102,34.991862
חיפה,מכון לכושר גופני,בית היינה,קריית חיים,הקונגרס,43,עיריית חיפה,,1996,,32.83504949,35.05664821
חיפה,אולם ספורט בינוני – 32x19 מ',בית הלוחם,כרמל צרפתי,דרך צרפת,101,עיריית חיפה,04-,1995,בית הלוחם,32.82589409,34.96674215
חיפה,בריכת שחיה - 25X12.5 מ',בית הלוחם,כרמל צרפתי,דרך צרפת,101,עיריית חיפה,,1995,,32.8256248,34.96738363
חיפה,מכון לכושר גופני,בית הלוחם,כרמל צרפתי,דרך צרפת,101,משרד הבטחון,,1980,,32.82589409,34.96674215
חיפה,אולם ספורט בינוני – 32x19 מ',בית הפועל,הדר,ציפורה זייד,1,עיריית חיפה,,1955,,32.80421662,34.99669514
חיפה,מגרש ספורט משולב – 43X32 מ',בית יציב,קריית חיים,יצחק יציב,47 א',עיריית חיפה,04-8356823,1970,,32.82217209,35.07162022
חיפה,מכון לכושר גופני,בית נגלר,קריית חיים,שד' בן צבי,14,עיריית חיפה,,1995,,32.81928066,35.0660716
חיפה,מגרש כדורגל - לא תקני,בית נגלר,,,,עיריית חיפה,,2015,,32.81919085,35.0663921
חיפה,מגרש ספורט משולב – 43X32 מ',בית צ'ארנה,קריית חיים,שד' דגניה,48,עיריית חיפה,04-8356823,1990,,32.83207227,35.05526472
חיפה,מגרש כדורסל – 19X32 מ',בית שערים,,מדרגות בית שערים,6,עיריית חיפה,04-8356823,1990,,32.81376428,34.99058645
חיפה,אולם ספורט קטן – 15x24 מ',בן גוריון,רוממה,קרן היסוד,33,עיריית חיפה,04-8256395,1980,בן גוריון,32.79052018,35.00238488
חיפה,אולם ספורט גדול - 45X24 מ',בן צבי,קריית חיים,בן צבי,6,עיריית חיפה,04-8404031,1997,חטיבת דגן - תיכון ק. חיים,32.82026833,35.06233248
חיפה,אולם ספורט בינוני – 32x19 מ',בסמ'ת,הדר,מסדה,10,עיריית חיפה,04-8626282,1980,בסמ'ת,32.80908201,34.99444155
חיפה,מגרש כדורסל – 19X32 מ',ברל כצנלסון,,ברל כצנלסון,,עיריית חיפה,04-8356823,1990,,32.78692887,35.01221384
חיפה,אולם ספורט קטן – 15x24 מ',גבריאלי,נווה יוסף,דרך יד לבנים,83,עיריית חיפה,04-8329922,1960,גבריאלי,32.79514267,35.01774758
חיפה,מגרש כדורסל – 19X32 מ',גוט לוין,כרמל,גוט לוין,6,עיריית חיפה,04-8356823,1990,,32.78439311,35.00517411
חיפה,אולם ספורט קטן – 15x24 מ',גורדון,קריית חיים,זלמן ארן,43,עיריית חיפה,04-8731814,1950,גורדון,32.83361065,35.05996153
חיפה,מתקן פתוח לכושר גופני,גן דניאל,רוממה,דרך פיק'א,,עיריית חיפה,04-8356823,2008,,32.78681416,34.99684237
חיפה,אולם ספורט בינוני – 32x19 מ',דגניה,קריית חיים,שדרות דגניה,33,עיריית חיפה,04-8415894,1994,דגניה,32.82927943,35.05729857
חיפה,מגרש כדורסל – 19X32 מ',דובנוב,כרמל,דובנוב - מול 28,,עיריית חיפה,04-8356823,1990,,32.77800127,35.01169936
חיפה,אולם ספורט קטן – 20x10 מ',דוד ילין,מרכז הכרמל,מגידו,7,עיריית חיפה,04-8382538,1960,דוד ילין,32.80402348,34.98911502
חיפה,אולם ספורט בינוני – 32x19 מ',דינור,נווה שאנן,קליבנוב,20,עיריית חיפה,04-8323903,1997,דינור,32.79296691,35.01006574
חיפה,בריכת שחיה - 25X12.5 מ',דן כרמל,כרמל,שד' הנשיא,85-87,עיריית חיפה,04-8303030,1960,,32.81032807,34.98493554
חיפה,מכון לכושר גופני,דן כרמל,כרמל,שד' הנשיא,85-87,פרטי,,1985,,32.8098776,34.9851502
חיפה,בריכת שחיה - 25X12.5 מ',דן פנורמה,כרמל,שד' הנשיא,9,עיריית חיפה,,1990,,32.81518655,34.97894381
חיפה,מכון לכושר גופני,דן פנורמה,כרמל,שד' הנשיא,107,פרטי,,1985,,32.80717607,34.98718551
חיפה,אולם ספורט קטן – 15x24 מ',הבונים,רמות רמז,חבייבה רייך,16,עיריית חיפה,04-8239811,2000,הבונים,32.78115039,35.00731617
חיפה,מגרש כדורסל – 19X32 מ',הבעש'ט,,הבעש'ט,27,עיריית חיפה,04-8356823,1990,,32.80232254,34.99637925
חיפה,מגרש כדורגל - לא תקני,הגיבורים,,,,עיריית חיפה,,2016,,32.80308923,35.00768414
חיפה,אולם ספורט בינוני – 32x19 מ',הוד הכרמל - מועדון דניה,דניה,גרינבוים,18,עיריית חיפה,,2000,,32.769132,34.99154709
חיפה,בריכת שחיה - 25X12.5 מ',הוד הכרמל - מועדון דניה,דניה,גרינבוים,18,עיריית חיפה,,1995,,32.769132,34.99154709
חיפה,מכון לכושר גופני,הולמספלייס גרנד קניון,נו'ש,שמחה גולן,54,פרטי,,2003,,32.78971732,35.00783103
חיפה,מכון לכושר גופני,הולמספלייס קניון חיפה,מבואות חיפה,פלימן,4,פרטי,,2005,,32.78973234,34.96470338
חיפה,מגרש כדורסל – 19X32 מ',החשמונאים,,החשמונאים,40,עיריית חיפה,04-8356823,1990,,32.80781039,34.98899911
חיפה,אולם ספורט גדול - 45X24 מ',היכל הספורט,רוממה,דרך פיק'א,,עיריית חיפה,04-8241012,1964,,32.78780637,34.99705356
חיפה,מגרש כדורסל – 19X32 מ',המגינים,עיר תחתית,המגינים,131,עיריית חיפה,04-8356823,1990,,32.82277434,34.98661358
חיפה,מגרש כדורסל – 19X32 מ',הנטקה,,הנטקה - מול 60,,עיריית חיפה,04-8356823,1990,,32.78401499,34.99450049
חיפה,מגרש כדורסל – 19X32 מ',הנטקה,אחוזה,הנטקה,42,עיריית חיפה,04-8356823,1980,,32.78554373,34.99204172
חיפה,אולם ספורט בינוני – 32x19 מ',הפתוח,,,,עיריית חיפה,,2017,,32.78750611,35.01231935
חיפה,מגרש כדורסל – 19X32 מ',הרב קניאל,,הרב קניאל,11,עיריית חיפה,04-8356823,1990,,32.79773337,35.00215504
חיפה,מגרש כדורגל - לא תקני,הריאלי - בית בירם,כרמל,אבא חושי,15,עיריית חיפה,,1960,,32.77905764,34.99568626
חיפה,אולם ספורט קטן – 15x24 מ',הריאלי אחוזה,אחוזה,קריית ספר,26א',עיריית חיפה,04-8243937,1960,הריאלי אחוזה,32.79004928,34.99032298
חיפה,אולם ספורט קטן – 15x24 מ',הריאלי העברי,מרכז הכרמל,דרך הים,10,עיריית חיפה,04-8383067,1960,הריאלי העברי,32.80437897,34.98612463
חיפה,אולם ספורט בינוני – 32x19 מ',הריאלי העברי - בית בירם,כרמל,שד' אבא חושי,15,עיריית חיפה,04-8668115,1980,הריאלי העברי - בית בירם,32.77815595,34.99568836
חיפה,אולם ספורט קטן – 15x24 מ',הרצל,כרמליה,צדקיהו,6,עיריית חיפה,04-8383754,1990,הרצל,32.79895941,34.98079975
חיפה,מגרש טניס,ווינסדור,מושבה גרמנית,בן גוריון,14,עיריית חיפה,,1950,,32.82224142,34.99131366
חיפה,מגרש כדורסל – 19X32 מ',ורבורג,קריית חיים,שד' וורבורג,94,עיריית חיפה,04-8356823,1980,,32.83866887,35.06775048
חיפה,מגרש כדורסל – 19X32 מ',ורדיה,ורדיה,ורדיה,12,עיריית חיפה,04-8356823,1990,,32.79510937,34.99660957
חיפה,מגרש כדורסל – 19X32 מ',זיו,,גורדון,4,עיריית חיפה,04-8356823,1990,,32.78296272,35.01307632
חיפה,מגרש כדורסל – 19X32 מ',זינגר,,זינגר,11,עיריית חיפה,04-8356823,1990,,32.76826476,35.01289434
חיפה,אולם ספורט קטן – 20x10 מ',זכרון יוסף,אחוזה,שד' סיני,13,עיריית חיפה,04-8242169,1960,זכרון יוסף,32.78779009,34.98744617
חיפה,מגרש כדורסל – 19X32 מ',חביבה רייק,,חבייבה רייך,38,עיריית חיפה,04-8356823,1990,,32.77808328,35.00646904
חיפה,אולם ספורט קטן – 20x10 מ',חוגים,כרמל,יאיר כץ,4,עיריית חיפה,04-8382256,1960,חוגים,32.80186344,34.99146908
חיפה,מתקן פתוח לכושר גופני,חוף דדו דרום,מבואות חיפה,מבואות חיפה,,עיריית חיפה,04-8356823,2009,,32.79503567,34.95614853
חיפה,מתקן פתוח לכושר גופני,חוף דדו צפון,מבואות חיפה,מבואות חיפה,,עיריית חיפה,04-8356823,2008,,32.79837192,34.95613925
חיפה,מגרש כדורסל – 19X32 מ',חוף השנהב,דניה,חוף השנהב,38,עיריית חיפה,04-8356823,1990,,32.76752663,35.00222341
חיפה,בריכת שחיה - 25X12.5 מ',חוף כאן,קריית חיים,טרומן,11,עיריית חיפה,,1989,,32.8385662,35.05674919
חיפה,מכון לכושר גופני,חוף כאן,קריית חיים,טרומן,11,פרטי,,2000,,32.83847616,35.05685615
חיפה,מתקן פתוח לכושר גופני,חוף קריית חיים,קריית חיים,טרומן,,עיריית חיפה,04-8356823,2008,,32.83450478,35.05355176
חיפה,אולם ספורט קטן – 15x24 מ',חופית,חיפה מערב,חיננית,3,עיריית חיפה,04-8597157,1980,חופית,32.81622954,34.95822524
חיפה,מגרש כדורסל – 19X32 מ',טבנקין,,טבנקין,2,עיריית חיפה,04-8356823,1990,,32.79603117,35.00909824
חיפה,מתקן פתוח לכושר גופני,טיילת בת גלים,בת גלים,בת גלים,,עיריית חיפה,04-8356823,2008,,32.83484215,34.97825329
חיפה,מתקן פתוח לכושר גופני,טיילת קריית אליעזר,קריית אליעזר,רח' צה'ל,16,עיריית חיפה,04-8356823,2008,,32.8251993,34.98116117
חיפה,אולם ספורט בינוני – 32x19 מ',טכניון,נווה שאנן,קרית הטכניון חיפה 3200,,עיריית חיפה,,1980,,32.78099362,35.02290073
חיפה,בריכת שחיה - 20X50 מ',טכניון,נווה שאנן,קרית הטכניון חיפה 3200,,עיריית חיפה,,1980,,32.78099362,35.02290073
חיפה,מגרש טניס,טכניון,נווה שאנן,קרית הטכניון חיפה 3200,,עיריית חיפה,,1990,,32.78099362,35.02290073
חיפה,מכון לכושר גופני,טכניון,נווה שאנן,קרית הטכניון חיפה 3200,,טכניון,,2000,,32.78099362,35.02290073
חיפה,אולם ספורט קטן – 15x24 מ',טשרניחובסקי,כרמל צרפתי,טשרניחובסקי,34,עיריית חיפה,04-8337965,2000,טשרניחובסקי,32.82104151,34.97561855
חיפה,מגרש כדורסל – 19X32 מ',טשרניחובסקי,כרמל צרפתי,התשבי פינת טשרניחובסקי,,עיריית חיפה,04-8356823,1980,,32.81671962,34.97904672
חיפה,אולם ספורט קטן – 15x24 מ',יזרעאליה,נווה שאנן,צ'רניאבסקי,20,עיריית חיפה,04-8223923,1970,יזרעאליה,32.79116683,35.01220472
חיפה,מגרש כדורסל – 19X32 מ',כספרי,,כספרי,17,עיריית חיפה,04-8356823,1990,,32.79735462,34.99126631
חיפה,אצטדיון כדורגל – 105X70 מ',כפר גלים,חיפה דרום,,,עיריית חיפה,,2000,,32.76961136,34.9579268
חיפה,מכון לכושר גופני,כרמליה,,מרגלית,4,פרטי,,1998,,32.79589878,34.98368991
חיפה,בריכת שחיה - 25X12.5 מ',ליאובק,כרמל צרפתי,דרך צרפת,90,עיריית חיפה,,1995,ליאובק חטיבה ותיכון,32.82282998,34.96760464
חיפה,מגרש טניס,ליאובק,כרמל צרפתי,דרך צרפת,90,עיריית חיפה,,1960,,32.82282998,34.96760464
חיפה,מכון לכושר גופני,ליאובק,,דרך צרפת,90,פרטי,,1995,,32.82310291,34.96888541
חיפה,אולם ספורט קטן – 15x24 מ',ליאובק יסודי,הדר עליון,גולומב,4,עיריית חיפה,04-8522644,1960,ליאובק יסודי,32.81033677,34.989954
חיפה,מגרש כדורסל – 19X32 מ',לסקוב,,לסקוב,25,עיריית חיפה,04-8356823,1990,,32.77276091,35.00498659
חיפה,מגרש כדורסל – 19X32 מ',מבצע יהונתן,,מבצע יהונתן,9,עיריית חיפה,04-8356823,1990,,32.79356734,34.9911686
חיפה,אולם ספורט קטן – 15x24 מ',מגינים,קריית חיים,בן צבי,12,עיריית חיפה,04-8721567,1980,מגינים,32.81837944,35.06650014
חיפה,אצטדיון כדורגל – 105X70 מ',מגרשי אבירן,חיפה מערב,צביה ויצחק,17,עיריית חיפה,,1994,,32.79532628,34.96650326
חיפה,מגרש כדורגל – 45X90 מ',מגרשי אתו'ס,,,,עיריית חיפה,,2013,,32.79487985,34.96409173
חיפה,אצטדיון כדורגל – 105X70 מ',מגרשי קצף,חיפה מערב,צביה ויצחק,,עיריית חיפה,,1960,,32.79559004,34.96297953
חיפה,מגרש טניס,מועדון דניה,הוד הכרמל,גרינבוים יצחק,18,עיריית חיפה,,1995,,32.769132,34.99154709
חיפה,מכון לכושר גופני,מועדון הוד הכרמל,דניה,גרינבוים יצחק,18,מועדון דניה,,2000,,32.769132,34.99154709
חיפה,מגרש טניס,מועדון הספורט נו'ש,נווה שאנן,דרך יעקב דורי - צמוד לטכניון,,עיריית חיפה,,1998,עירוני ג',32.78207049,35.01937604
חיפה,מכון לכושר גופני,מועדון הספורט נו'ש,נווה שאנן,דרך יעקב דורי - צמוד לטכניון,,פרטי,,2000,,32.78207049,35.01937604
חיפה,בריכת שחיה - 25X12.5 מ',מועדון הספורט נו'ש,נווה שאנן,דרך דורי,,עיריית חיפה,,1997,,32.78207049,35.01937604
חיפה,מכון לכושר גופני,מועדון יודפת,הדר,"husp,",13,עיריית חיפה,,,,32.80765608,35.00469511
חיפה,מגרש טניס,מועדון כרמל,מרכז הכרמל,שד' הצבי,20,עיריית חיפה,,1960,,32.80446048,34.98121305
חיפה,מכון לכושר גופני,מועדון נווה דוד,,המלך דוד,14,עיריית חיפה,,1980,,32.80802754,34.95995624
חיפה,מכון לכושר גופני,מועדון נווה יוסף,חליסה,הרב משאש,1,עיריית חיפה,,1995,,32.7934331,35.02020655
חיפה,בריכת שחיה - 25X12.5 מ',מכבי,כרמל,הביכורים,27,עיריית חיפה,,1960,עירוני ה' + חוגים,32.8009533,34.98656007
חיפה,מגרש טניס,מכבי הר הכרמל,,שד' הצבי,20,עיריית חיפה,,1960,"אהוד, עירוני ה' וחוגים",32.80446048,34.98121305
חיפה,מכון לכושר גופני,מכבי הר הכרמל,,רח' הביכורים,19,עיריית חיפה,,2005,,32.80122436,34.9868797
חיפה,מכון לכושר גופני,מלון הר הכרמל,כרמל,דרך הים,103,פרטי,,2006,,32.81003858,34.97436545
חיפה,מכון לכושר גופני,מלון ליאונרדו,מבואות חיפה,דוד אלעזר,10,פרטי,,2005,,32.80576703,34.95675931
חיפה,מגרש כדורסל – 19X32 מ',מלל,,מלל,8,עיריית חיפה,04-8356823,1990,,32.77962775,35.01393738
חיפה,מגרש כדורסל – 19X32 מ',מנילה,,מנילה,2,עיריית חיפה,04-8356823,1990,,32.76870072,35.00339475
חיפה,בריכת שחיה - 25X12.5 מ',מרידיאן,חיפה מערב,דוד אלעזר,10,עיריית חיפה,04-8508888,2000,,32.80603774,34.95686533
חיפה,מכון לכושר גופני,מרכז הטניס,,שד' צביה ויצחק,2,פרטי,,1990,,32.7937926,34.96608032
חיפה,מגרש טניס,מרכז הטניס,חיפה דרום,צביה ויצחק,,עיריית חיפה,,1990,,32.7937926,34.96608032
חיפה,מגרש מיני פיץ',מרכז הטניס מיני פיץ',,,,עיריית חיפה,,2017,,32.79104729,34.96390988
חיפה,מכון לכושר גופני,מרכז הכרמל,שד' הנשיא,שד' הנשיא,124,פרטי,,1990,,32.80456117,34.98719188
חיפה,מכון לכושר גופני,מרכז זיו,נו'ש,שד' טרומפלדור,54,פרטי,,2000,,32.78314436,35.01392988
חיפה,אולם ספורט בינוני – 32x19 מ',מרכז חינוך ליאובק,כרמל צרפתי,דרך צרפת,90,עיריית חיפה,04-8300500,1993,ליאובק,32.82282998,34.96760464
חיפה,אולם ספורט בינוני – 32x19 מ',מרכז עירוני לסיוף,קריית אליעזר,צה'ל,16,עיריית חיפה,04-8507737,1954,מרכז הסייף,32.82564995,34.98105325
חיפה,מכון לכושר גופני,מרכז רוממה- אורן,ורדיה,ורדיה,12,פרטי,,1978,,32.79492885,34.99650323
חיפה,מגרש ספורט משולב – 43X32 מ',נווה דוד עליון,נווה דוד,עוזיהו המלך,5,עיריית חיפה,04-8356823,1990,,32.81064139,34.9594152
חיפה,מגרש כדורסל – 19X32 מ',נווה דוד תחתון,,המלך דוד,29,עיריית חיפה,04-8356823,1990,,32.81081963,34.95834694
חיפה,אולם ספורט קטן – 15x24 מ',נופים,אחוזה,סורוקה,22,עיריית חיפה,04-8347072,1995,נופים,32.77517516,34.99260004
חיפה,אולם ספורט קטן – 15x24 מ',נזירות נצרת,הדר עליון,עבאס,7,עיריית חיפה,04-8522732,1970,נזירות נצרת,32.81502573,34.99004951
חיפה,אולם ספורט קטן – 15x24 מ',נירים,חיפה מערב,המלך יהושפט,6,עיריית חיפה,04-8377033,1970,נירים,32.80793966,34.96113099
חיפה,אולם ספורט קטן – 15x24 מ',נתיב אליעזר,אחוזה,דישראלי,54 א',עיריית חיפה,04-8244965,1970,נתיב אליעזר,32.78905742,34.99032536
חיפה,מגרש כדורסל – 19X32 מ',סורוקה,כרמל,סורוקה,41,עיריית חיפה,04-8356823,1990,,32.77346031,34.99164351
חיפה,מגרש כדורסל – 19X32 מ',סעדיה גאון,,סעדיה גאון פינת מרסיי,,עיריית חיפה,04-8356823,1990,,32.8187599,34.96110149
חיפה,מגרש טניס,ספורטן - מרכז ספורט,חיפה דרום,צביה ויצחק,,עיריית חיפה,,1990,,32.79505333,34.96522289
חיפה,מכון לכושר גופני,ספורטן - מרכז ספורט,,צביה ויצחק,16,ספורטן - פרטי,,2000,,32.79505333,34.96522289
חיפה,בריכת שחיה - 25X12.5 מ',ספורטן - מרכז ספורט,חיפה מערב,צביה ויצחק,16,עיריית חיפה,,1990,,32.79496276,34.96500962
חיפה,אולם ספורט קטן – 15x24 מ',עין הים,חיפה מערב,יציאת אירופה,17,עיריית חיפה,04-8336414,1980,עין הים,32.82236226,34.95884906
חיפה,מכון לכושר גופני,עירוני א',,תל אביב,27,עיריית חיפה,04-,2000,,32.82565862,34.98596577
חיפה,אולם ספורט קטן – 20x10 מ',עירוני א' - אולם ימני,קריית אליעזר,תל אביב,27,עיריית חיפה,04-,1980,עירוני א',32.82565862,34.98596577
חיפה,אולם ספורט קטן – 20x10 מ',עירוני א' - אולם שמאלי,קריית אליעזר,תל אביב,27,עיריית חיפה,04-,1980,עירוני א',32.82565862,34.98596577
חיפה,אולם ספורט קטן – 20x10 מ',עירוני ה',כרמל,הביכורים,25,עיריית חיפה,04-8353200,1970,עירוני ה',32.80005549,34.9888043
חיפה,אולם ספורט קטן – 20x10 מ',עירוני ה',כרמל,הביכורים,25,עיריית חיפה,04-8353201,1970,עירוני ה',32.80041763,34.98965754
חיפה,מגרש כדורסל – 19X32 מ',ערד,,ערד,102,עיריית חיפה,04-8356823,1990,,32.79100103,35.02191961
חיפה,מגרש כדורסל – 19X32 מ',פאר,חליסה,פאר,60,עיריית חיפה,04-8356823,1948,,32.79658073,35.01464854
חיפה,מגרש מיני פיץ',פארק הכט,מבואות חיפה,פארק הכט,,עיריית חיפה,04-8356823,2008,,32.81586189,34.95470243
חיפה,מתקן פתוח לכושר גופני,פארק הכט,מבואות חיפה,מבואות חיפה,,עיריית חיפה,04-8356823,2008,,32.81586189,34.95470243
חיפה,מגרש ספורט משולב – 43X32 מ',פיקא דניאל,נווה שאנן,דרך פיקא,,עיריית חיפה,04-8356823,1970,,32.78681416,34.99684237
חיפה,מגרש כדורסל – 19X32 מ',פרויד,כרמל,פרויד,29,עיריית חיפה,04-8356823,1990,,32.77967744,34.98896022
חיפה,מגרש ספורט משולב – 43X32 מ',צה'ל 16,קריית אליעזר,צה'ל,16,עיריית חיפה,04-8520527,1980,"עירוני א', רעות",32.82546961,34.9810537
חיפה,מגרש ספורט משולב – 43X32 מ',צייטלין,קריית חיים,צייטלין,7,עיריית חיפה,04-8356823,1990,,32.81612996,35.07088173
חיפה,מגרש כדורסל – 19X32 מ',צ'רניאבסקי,,צ'רניאבסקי,5,עיריית חיפה,04-8356823,1990,,32.79035596,35.01263348
חיפה,אולם ספורט בינוני – 32x19 מ',ק. אליעזר,קריית אליעזר,צה'ל,16,עיריית חיפה,04-8520527,2003,ק. אליעזר,32.82538343,34.9832966
חיפה,מגרש כדורסל – 19X32 מ',קאודרס,,קאודרס,7,עיריית חיפה,04-8356823,1990,,32.82130453,34.97155989
חיפה,מגרש כדורסל – 19X32 מ',קיסריה,הדר,קיסריה,20,עיריית חיפה,04-8356823,1990,,32.81584539,34.99485277
חיפה,מגרש כדורגל - לא תקני,קריית אליעזר - מגרשי אימון,קריית אליעזר,ליסין,,עיריית חיפה,,1995,,32.82727375,34.98147637
חיפה,מגרש טניס,קריית חיים,קריית חיים,מאחורי בית נגלר,,עיריית חיפה,,1990,"מגינים, תק'ח וארלוזרוב",32.81864924,35.065859
חיפה,מגרש כדורגל – 45X90 מ',קריית חיים כדורגל,,,,עיריית חיפה,,2017,,32.81911806,35.06580488
חיפה,מגרש כדורסל – 19X32 מ',קרן היסוד,,קרן היסוד,31,עיריית חיפה,04-8356823,1990,,32.79015898,35.00206544
חיפה,אולם ספורט קטן – 15x24 מ',רוממה,רוממה,אורן,27,עיריית חיפה,04-8341756,1980,רוממה,32.78464956,34.99652716
חיפה,מגרש כדורסל – 19X32 מ',רטנר,,רטנר,4,עיריית חיפה,04-8356823,1990,,32.78927245,35.01167504
חיפה,מגרש כדורסל – 19X32 מ',רטנר - אבא חושי,נווה שאנן,רטנר מול 81,,עיריית חיפה,04-8356823,2000,,32.79152254,35.00900135
חיפה,אולם ספורט קטן – 15x24 מ',רמב'ם,נווה שאנן,ציון,7,עיריית חיפה,04-8233770,1970,רמב'ם,32.79063149,35.01594222
חיפה,מגרש כדורסל – 19X32 מ',רמב'ן,,רמב'ן,11,עיריית חיפה,04-8356823,1990,,32.8034926,34.99509531
חיפה,אולם ספורט קטן – 15x24 מ',רמות,חיפה מערב,דרך צרפת,85,עיריית חיפה,04-8330504,1980,רמות,32.82282816,34.96664353
חיפה,אולם ספורט בינוני – 32x19 מ',רמת אלון,רמת אלון,אליעזר אלתר,32,עיריית חיפה,04-8123546,2000,רמת אלון,32.77457582,35.01234715
חיפה,אולם ספורט קטן – 20x10 מ',רעות,קריית אליעזר,צה'ל,41,עיריית חיפה,04-8521564,1970,רעות,32.82690713,34.97816661
חיפה,מגרש כדורסל – 19X32 מ',רענן,,רענן,28,עיריית חיפה,04-8356823,1990,,32.80273451,34.97417074
חיפה,מגרש טניס,שד' אום,הדר,שד' אום (הציונות),,עיריית חיפה,,1960,,32.8161114,34.99218257
חיפה,מגרש כדורסל – 19X32 מ',שד' הציונות,הדר,שד' הציונות פינת הילל,,עיריית חיפה,04-8356823,1990,,32.81276949,34.98888036
חיפה,מתקן פתוח לכושר גופני,שדרות דגניה,קריית חיים,שד' דגניה,35-34,עיריית חיפה,04-8356823,2008,,32.83018112,35.05729708
חיפה,אולם ספורט בינוני – 32x19 מ',שיזף,חיפה מערב,הבישופ חג'אר,1,עיריית חיפה,04-8513844,2001,שיזף,32.81951696,34.98021431
חיפה,מגרש כדורסל – 19X32 מ',שניים בנובמבר,,שניים בנובמבר פינת הציונות,,עיריית חיפה,04-8356823,1990,,32.8156454,34.98342751
חיפה,אולם ספורט בינוני – 32x19 מ',תיכון עירוני ב',קריית שמואל,יוסף שטרן,9,עיריית חיפה,04-8758195,1980,עירוני ב',32.82577726,35.07011972
חיפה,אולם ספורט בינוני – 32x19 מ',תיכון עירוני ג',נווה שאנן,גדליהו,24,עיריית חיפה,04-8128222,1960,תיכון עירוני ג',32.7843274,35.02118603
חיפה,אולם ספורט בינוני – 32x19 מ',תיכון ק. חיים,קריית חיים,הגדוד העברי,48,עיריית חיפה,04-8412228,1997,תיכון קריית חיים,32.82451374,35.06905369
חיפה,מכון לכושר גופני,תיכון ק. חיים,קריית חיים,הגדוד העברי,48,עיריית חיפה,,1980,,32.82460391,35.06905356
חיפה,אולם ספורט קטן – 15x24 מ',תל חי,נווה שאנן,הגליל,107,עיריית חיפה,04-8233580,1970,תל חי,32.78694247,35.02128742
חיפה,מגרש כדורסל – 19X32 מ',תל מאנה,כרמל,תל מאנה,30,עיריית חיפה,04-8356823,1990,,32.78660319,34.97912272
